game_id,minute,side,type
6014,74,home,red_card
6017,88,home,red_card
6025,78,away,red_card
6033,25,home,red_card
6037,66,home,red_card
6040,75,home,red_card
6046,90,home,red_card
6058,41,home,red_card
6058,45,away,red_card
6062,90,away,red_card
6063,17,away,red_card
6064,53,away,red_card
6070,85,home,red_card
6070,85,away,red_card
6085,56,home,red_card
6086,90,away,red_card
6089,61,away,red_card
6091,74,home,red_card
6092,72,home,red_card
6105,53,away,red_card
6110,78,home,red_card
6115,4,away,red_card
6128,71,away,red_card
6133,26,away,red_card
6134,88,away,red_card
6135,81,away,red_card
6136,57,away,red_card
6145,70,home,red_card
6147,62,home,red_card
6197,12,away,red_card
6203,57,home,red_card
6207,58,home,red_card
6210,90,away,red_card
6213,73,home,red_card
6213,54,away,red_card
6218,76,home,red_card
6223,90,away,red_card
6227,77,home,red_card
6242,17,home,red_card
6253,49,home,red_card
6257,71,away,red_card
6263,59,home,red_card
6266,46,away,red_card
6273,66,home,red_card
6281,71,home,red_card
6284,13,home,red_card
6294,10,away,red_card
6297,19,home,red_card
6298,90,home,red_card
6300,75,away,red_card
6302,90,away,red_card
6303,40,home,red_card
6304,90,away,red_card
6306,39,home,red_card
6307,78,away,red_card
6320,84,home,red_card
6322,26,home,red_card
6334,86,away,red_card
6337,85,away,red_card
6346,57,away,red_card
6350,87,home,red_card
6351,84,away,red_card
6359,90,home,red_card
6364,90,away,red_card
6366,83,away,red_card
6368,75,home,red_card
6372,67,away,red_card
6379,21,home,red_card
6379,67,away,red_card
6391,42,away,red_card
6404,90,away,red_card
6414,88,away,red_card
6415,23,home,red_card
6428,74,away,red_card
6435,75,away,red_card
6435,90,away,red_card
6452,76,home,red_card
6452,31,away,red_card
6460,66,home,red_card
6461,81,home,red_card
6467,69,away,red_card
6469,51,away,red_card
6470,59,away,red_card
6478,21,away,red_card
6479,89,home,red_card
6479,88,away,red_card
6485,26,away,red_card
6498,73,home,red_card
6499,35,home,red_card
6500,90,home,red_card
6502,39,away,red_card
6510,59,away,red_card
6516,54,away,red_card
6526,76,home,red_card
6526,89,home,red_card
6531,80,home,red_card
6545,54,home,red_card
6548,90,home,red_card
6548,90,home,red_card
6552,25,away,red_card
6553,68,away,red_card
6554,90,away,red_card
6556,90,away,red_card
6565,88,away,red_card
6568,83,away,red_card
6571,68,home,red_card
6581,45,home,red_card
6588,36,away,red_card
6596,45,home,red_card
6598,84,home,red_card
6614,80,away,red_card
6614,85,away,red_card
6618,61,away,red_card
6619,90,away,red_card
6635,90,home,red_card
6637,32,away,red_card
6637,32,away,red_card
6638,17,away,red_card
6638,88,away,red_card
6642,55,home,red_card
6655,69,away,red_card
6663,85,home,red_card
6673,51,home,red_card
6679,71,away,red_card
6681,33,home,red_card
6682,77,home,red_card
6684,64,away,red_card
6685,45,home,red_card
